,config,ATE-ex-ante,ATE-ex-post,ATT-ex-ante,ATT-ex-post,ATUT-ex-ante,ATUT-ex-post
0,"[[1, 1, 1, 0, 0, 0], [1, 2, 1, 0.5]]",0.202,0.2,1.231,1.227,-0.585,-0.586
1,"[[1, 1, 1, 0, 0, 0], [1, 0, 2, 1]]",0.2,0.196,1.242,1.238,-0.589,-0.592
2,"[[1, 1, 1, 0, 0, 0], [0.05, 0.1, 0.01, 0.1]]",0.196,0.195,1.23,1.23,-0.592,-0.592
3,"[[1, 1, 1, 0.5, -0.5, 0], [1, 2, 1, 0.5]]",0.199,0.196,0.974,0.967,-0.393,-0.393
4,"[[1, 1, 1, 0.5, -0.5, 0], [1, 0, 2, 1]]",0.197,0.196,0.976,0.977,-0.394,-0.396
5,"[[1, 1, 1, 0.5, -0.5, 0], [0.05, 0.1, 0.01, 0.1]]",0.201,0.201,0.983,0.983,-0.396,-0.397
6,"[[1, 1, 1, 0, 0, 0.5], [1, 2, 1, 0.5]]",0.202,0.198,1.306,1.297,-0.672,-0.671
7,"[[1, 1, 1, 0, 0, 0.5], [1, 0, 2, 1]]",0.206,0.206,1.317,1.318,-0.675,-0.674
8,"[[1, 1, 1, 0, 0, 0.5], [0.05, 0.1, 0.01, 0.1]]",0.202,0.201,1.306,1.305,-0.674,-0.675
9,"[[1, 1, 0, 0.5, 0, 0], [1, 2, 1, 0.5]]",0.195,0.193,1.149,1.151,-0.401,-0.405
10,"[[1, 1, 0, 0.5, 0, 0], [1, 0, 2, 1]]",0.201,0.199,1.155,1.149,-0.396,-0.396
11,"[[1, 1, 0, 0.5, 0, 0], [0.05, 0.1, 0.01, 0.1]]",0.204,0.204,1.152,1.152,-0.397,-0.397
12,"[[1, 0.25, 1, 0.1, -0.2, 0.2], [1, 2, 1, 0.5]]",0.199,0.192,0.971,0.961,-0.386,-0.391
13,"[[1, 0.25, 1, 0.1, -0.2, 0.2], [1, 0, 2, 1]]",0.199,0.195,0.968,0.965,-0.384,-0.388
14,"[[1, 0.25, 1, 0.1, -0.2, 0.2], [0.05, 0.1, 0.01, 0.1]]",0.2,0.199,0.969,0.97,-0.384,-0.384
15,"[[0.25, 0.25, 1, -0.2, 0.1, -0.2], [1, 2, 1, 0.5]]",0.201,0.184,0.693,0.669,-0.127,-0.138
16,"[[0.25, 0.25, 1, -0.2, 0.1, -0.2], [1, 0, 2, 1]]",0.198,0.192,0.696,0.694,-0.132,-0.14
17,"[[0.25, 0.25, 1, -0.2, 0.1, -0.2], [0.05, 0.1, 0.01, 0.1]]",0.197,0.197,0.694,0.694,-0.134,-0.134
18,"[[1, 1, 1, -0.2, 0.6, 0.5], [1, 2, 1, 0.5]]",0.203,0.196,1.355,1.348,-0.681,-0.688
19,"[[1, 1, 1, -0.2, 0.6, 0.5], [1, 0, 2, 1]]",0.201,0.203,1.344,1.345,-0.679,-0.678
20,"[[1, 1, 1, -0.2, 0.6, 0.5], [0.05, 0.1, 0.01, 0.1]]",0.204,0.204,1.352,1.351,-0.687,-0.687
